timestamp,torso_angle,neck_angle,posture_score,posture_status
2026-05-24 22:12:19,0.3,17.11,85.0,Excellent
2026-05-24 22:12:20,2.98,21.79,85.0,Excellent
2026-05-24 22:12:21,4.61,20.12,85.0,Excellent
2026-05-24 22:12:22,1.22,22.75,85.0,Excellent
2026-05-24 22:12:23,4.68,22.45,85.0,Excellent
2026-05-24 22:12:24,6.6,25.06,85.0,Excellent
2026-05-24 22:12:25,5.78,24.81,85.0,Excellent
2026-05-24 22:12:26,5.74,25.36,85.0,Excellent
2026-05-24 22:12:27,5.56,23.98,85.0,Excellent
2026-05-24 22:12:28,4.63,26.22,85.0,Excellent
2026-05-24 22:12:29,0.85,30.47,70.0,Moderate
2026-05-24 22:12:30,3.01,28.26,85.0,Excellent
2026-05-24 22:12:31,8.47,33.72,70.0,Moderate
2026-05-24 22:12:32,8.31,33.76,70.0,Moderate
2026-05-24 22:12:33,8.51,34.36,70.0,Moderate
2026-05-24 22:12:34,8.48,36.72,70.0,Moderate
2026-05-24 22:12:35,8.28,32.8,70.0,Moderate
2026-05-24 22:12:36,9.58,36.08,70.0,Moderate
2026-05-24 22:12:37,7.46,36.79,70.0,Moderate
2026-05-24 22:12:38,13.86,34.93,55.0,Poor
2026-05-24 22:12:39,5.88,33.83,70.0,Moderate
2026-05-24 22:12:40,4.69,34.63,70.0,Moderate
2026-05-24 22:12:41,3.69,39.03,70.0,Moderate
2026-05-24 22:12:42,2.66,38.92,70.0,Moderate
2026-05-24 22:12:43,3.64,36.93,70.0,Moderate
2026-05-24 22:12:44,1.15,25.53,85.0,Excellent
2026-05-24 22:12:45,1.93,26.68,85.0,Excellent
2026-05-24 22:12:46,2.11,25.28,85.0,Excellent
2026-05-24 22:12:47,0.35,22.82,85.0,Excellent
2026-05-24 22:12:48,2.56,24.25,85.0,Excellent
2026-05-24 22:12:49,7.29,26.09,85.0,Excellent
2026-05-24 22:12:50,0.88,24.67,85.0,Excellent
2026-05-24 22:12:51,0.28,27.4,85.0,Excellent
2026-05-24 22:12:52,0.78,28.04,85.0,Excellent
2026-05-24 22:12:53,0.55,30.15,70.0,Moderate
2026-05-24 22:12:54,8.03,29.72,85.0,Excellent
2026-05-24 22:12:56,11.67,36.64,55.0,Poor
