epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9453,1.1682,1.94412,0.70157,1.72268,1.51003,0.62598,0.73345,0.84047,0.52516,0.62598,0.73345,0.84047,0.67629,1.21795,0.90482,0.62332,1.59246,1.89201,0.000328704,0.000328704,0.0674583
2,24.9343,1.14898,0.85821,0.66438,1.25147,1.48355,0.74506,0.90241,0.93055,0.62646,0.74506,0.90241,0.93055,0.83317,1.07825,0.54889,0.57978,1.16404,1.80508,0.00064019,0.00064019,0.0344365
3,34.6143,1.08092,0.64491,0.63053,1.0382,1.43509,0.77194,0.94444,0.93983,0.66619,0.77194,0.94444,0.93983,0.90577,1.01665,0.32012,0.51042,0.82915,1.68387,0.000929676,0.000929676,0.00139264
4,44.2278,1.03505,0.5663,0.61198,1.02676,1.40022,0.78587,0.91785,0.95206,0.62946,0.78587,0.91785,0.95206,0.92408,1.15686,0.28302,0.48709,1.09427,1.78279,0.000901,0.000901,0.000901
5,53.9317,1.03279,0.50439,0.58327,0.94443,1.37828,0.88146,0.88797,0.95951,0.61708,0.88146,0.88797,0.95951,0.95204,1.25133,0.28841,0.38771,0.78861,1.88222,0.000868,0.000868,0.000868
6,63.6086,1.02625,0.462,0.55641,0.91044,1.36597,0.88166,0.97297,0.97765,0.67117,0.88166,0.97297,0.97765,0.96709,0.99647,0.22613,0.37321,0.79207,1.59844,0.000835,0.000835,0.000835
7,72.899,0.99799,0.44914,0.52052,0.86277,1.35309,0.757,0.96048,0.9472,0.61671,0.757,0.96048,0.9472,0.93667,1.1015,0.23479,0.27915,0.91183,1.73263,0.000802,0.000802,0.000802
8,82.5749,0.97445,0.39182,0.47295,0.85761,1.34018,0.87477,0.93445,0.97072,0.60226,0.87477,0.93445,0.97072,0.9525,1.34525,0.23497,0.27132,0.8939,1.90797,0.000769,0.000769,0.000769
9,92.0599,0.96838,0.3635,0.43917,0.84093,1.34313,0.90856,0.8829,0.94185,0.65753,0.90856,0.8829,0.94185,0.90124,1.04261,0.2959,0.18669,0.76108,1.69248,0.000736,0.000736,0.000736
10,101.559,0.94126,0.39977,0.42355,0.78792,1.33252,0.86427,0.93261,0.94154,0.61277,0.86427,0.93261,0.94154,0.93593,1.04557,0.1865,0.18636,0.69995,1.64446,0.000703,0.000703,0.000703
11,111.576,0.97081,0.34113,0.40812,0.82363,1.35014,0.91191,0.86111,0.96856,0.64801,0.91191,0.86111,0.96856,0.96765,1.10924,0.18042,0.19222,0.67676,1.73756,0.00067,0.00067,0.00067
12,121.464,0.90497,0.32297,0.37868,0.7824,1.30335,0.86384,0.96453,0.97289,0.68564,0.86384,0.96453,0.97289,0.9631,1.05625,0.17421,0.15915,0.60878,1.65511,0.000637,0.000637,0.000637
13,131.091,0.90171,0.30324,0.36527,0.72228,1.28601,0.98104,0.86186,0.97821,0.69205,0.98104,0.86186,0.97821,0.97709,1.06059,0.13416,0.12696,0.57819,1.72916,0.000604,0.000604,0.000604
14,141.039,0.86619,0.28263,0.35408,0.69692,1.26948,0.88979,0.91667,0.97024,0.65559,0.88979,0.91667,0.97024,0.96923,1.15205,0.13917,0.12026,0.7788,1.754,0.000571,0.000571,0.000571
15,150.333,0.85922,0.28518,0.3607,0.68915,1.26541,0.87223,0.97222,0.97059,0.68152,0.87223,0.97222,0.97059,0.96969,1.02401,0.15267,0.18981,0.61547,1.65317,0.000538,0.000538,0.000538
16,159.98,0.84974,0.29122,0.34193,0.65783,1.25482,0.94055,0.88465,0.96803,0.68513,0.94055,0.88465,0.96803,0.96719,1.05264,0.14049,0.10601,0.57806,1.68789,0.000505,0.000505,0.000505
17,169.819,0.83691,0.29478,0.33923,0.66871,1.23802,0.90969,0.88889,0.94504,0.67804,0.90969,0.88889,0.94504,0.94377,1.00788,0.14638,0.15762,0.76782,1.62556,0.000472,0.000472,0.000472
18,179.468,0.83687,0.26912,0.32441,0.67379,1.23353,0.88244,0.87688,0.94078,0.65824,0.88244,0.87688,0.94078,0.93293,1.07523,0.19254,0.09945,0.74026,1.67528,0.000439,0.000439,0.000439
19,189.11,0.82891,0.24142,0.3145,0.63764,1.24461,0.81726,0.95578,0.94997,0.67624,0.81726,0.95578,0.94997,0.94395,1.04041,0.15311,0.08712,0.72443,1.6535,0.000406,0.000406,0.000406
20,198.567,0.80611,0.22158,0.29779,0.63703,1.23075,0.86956,0.91597,0.95535,0.6639,0.86956,0.91597,0.95535,0.95431,1.09179,0.12386,0.10908,0.71646,1.73227,0.000373,0.000373,0.000373
21,212.39,0.70525,0.15786,0.16776,0.42759,1.28866,0.80587,1,0.96604,0.67873,0.80587,1,0.96604,0.9652,1.00008,0.11858,0.0833,0.59801,1.63355,0.00034,0.00034,0.00034
22,221.826,0.69519,0.15205,0.14179,0.40624,1.2776,0.84333,0.88889,0.93859,0.65455,0.84333,0.88889,0.93859,0.93259,1.00911,0.14162,0.10157,0.74904,1.61667,0.000307,0.000307,0.000307
23,231.524,0.67524,0.14833,0.13084,0.38706,1.28294,0.86837,0.94444,0.95786,0.64904,0.86837,0.94444,0.95786,0.95464,1.1041,0.12516,0.06918,0.62007,1.71635,0.000274,0.000274,0.000274
