epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2742,0.58973,1.62971,1.25767,0.74256,0.39193,0.38562,0.31938,0.89301,2.05544,1.56751,0.000474451,0.000474451,0.000474451
2,133.897,0.53211,1.00764,1.18996,0.70108,0.40058,0.37947,0.23937,1.21145,1.70517,1.63702,0.000913133,0.000913133,0.000913133
3,185.306,0.51055,0.88122,1.17297,0.73371,0.42643,0.4228,0.32101,0.85829,1.47279,1.27414,0.00131409,0.00131409,0.00131409
4,236.686,0.47782,0.79617,1.14533,0.71439,0.42432,0.40535,0.34254,0.61441,1.50302,0.89195,0.00125923,0.00125923,0.00125923
5,286.857,0.46164,0.7517,1.13701,0.67791,0.39437,0.39542,0.29593,0.91544,1.40615,1.17289,0.00120265,0.00120265,0.00120265
6,338.239,0.43901,0.71675,1.12251,0.44969,0.40837,0.45278,0.35011,0.79259,1.41706,1.04198,0.00114606,0.00114606,0.00114606
7,389.895,0.41712,0.669,1.10234,0.40822,0.51244,0.50162,0.4121,0.68439,1.12691,0.9362,0.00108947,0.00108947,0.00108947
8,444.242,0.39972,0.63719,1.08963,0.45489,0.51866,0.53047,0.42917,0.77186,0.99447,1.03843,0.00103288,0.00103288,0.00103288
9,504.138,0.38345,0.61779,1.08324,0.38165,0.54395,0.51222,0.43754,0.59238,1.16569,0.81429,0.000976293,0.000976293,0.000976293
10,559.968,0.38092,0.59891,1.07548,0.81252,0.48488,0.5413,0.47118,0.61359,0.88832,0.8254,0.000919704,0.000919704,0.000919704
11,620.628,0.36953,0.55972,1.06514,0.46373,0.48893,0.49576,0.42594,0.60739,1.32764,0.84413,0.000863116,0.000863116,0.000863116
12,678.552,0.35487,0.54524,1.06223,0.47238,0.51276,0.53691,0.45063,0.68783,1.0605,0.91409,0.000806528,0.000806528,0.000806528
13,735.132,0.35421,0.53883,1.06067,0.45217,0.46234,0.50375,0.43622,0.56486,1.33158,0.80849,0.000749939,0.000749939,0.000749939
14,788.998,0.34338,0.51935,1.05469,0.46592,0.46994,0.48773,0.41666,0.64514,1.55249,0.89663,0.000693351,0.000693351,0.000693351
15,844.629,0.34182,0.5158,1.05413,0.8031,0.45155,0.44442,0.38488,0.63952,1.75624,0.88648,0.000636762,0.000636762,0.000636762
16,917.397,0.33837,0.35756,1.13863,0.49559,0.49461,0.52247,0.45166,0.60035,1.15328,0.83928,0.000580174,0.000580174,0.000580174
17,965.25,0.33025,0.32419,1.12877,0.80344,0.50375,0.50273,0.44067,0.58491,1.43863,0.83168,0.000523586,0.000523586,0.000523586
18,1012.53,0.31383,0.30281,1.11371,0.50651,0.51787,0.55531,0.48884,0.57598,1.12838,0.79386,0.000466997,0.000466997,0.000466997
19,1060.42,0.29789,0.26045,1.0946,0.43792,0.48515,0.46901,0.40716,0.60523,1.93598,0.86287,0.000410409,0.000410409,0.000410409
20,1107.74,0.29198,0.26908,1.09181,0.47099,0.51187,0.5403,0.4697,0.6126,1.39181,0.86606,0.00035382,0.00035382,0.00035382
21,1156.13,0.27605,0.23965,1.08077,0.49944,0.52659,0.56582,0.49517,0.5646,1.13166,0.81603,0.000297232,0.000297232,0.000297232
22,1204.42,0.27013,0.22523,1.07714,0.47965,0.51186,0.52502,0.46124,0.56041,1.38895,0.80552,0.000240644,0.000240644,0.000240644
23,1256.12,0.25937,0.2167,1.06512,0.46122,0.53585,0.56335,0.49448,0.56446,1.34001,0.80212,0.000184055,0.000184055,0.000184055
24,1304.58,0.25835,0.1998,1.05594,0.45831,0.53856,0.53868,0.47166,0.5902,1.38367,0.83297,0.000127467,0.000127467,0.000127467
25,1352.58,0.24285,0.1854,1.05371,0.46394,0.50601,0.53704,0.47319,0.56028,1.52497,0.80058,7.08784e-05,7.08784e-05,7.08784e-05
