timestamp,torso_angle,neck_angle,posture_score,posture_status
2026-05-25 11:15:08,0.32,13.53,100.0,Excellent
2026-05-25 11:15:09,0.58,8.67,100.0,Excellent
2026-05-25 11:15:10,0.88,13.68,100.0,Excellent
2026-05-25 11:15:11,2.79,28.53,85.0,Excellent
2026-05-25 11:15:12,0.32,28.12,85.0,Excellent
2026-05-25 11:15:13,1.26,32.52,70.0,Moderate
2026-05-25 11:15:14,4.68,38.89,70.0,Moderate
2026-05-25 11:15:15,1.02,30.32,70.0,Moderate
2026-05-25 11:15:16,0.98,25.21,85.0,Excellent
2026-05-25 11:15:17,0.07,22.71,85.0,Excellent
2026-05-25 11:15:18,2.93,26.35,85.0,Excellent
2026-05-25 11:15:19,4.13,28.79,85.0,Excellent
2026-05-25 11:15:20,2.44,24.13,85.0,Excellent
2026-05-25 11:15:21,1.72,23.88,85.0,Excellent
2026-05-25 11:15:22,1.75,28.53,85.0,Excellent
2026-05-25 11:15:23,2.27,26.84,85.0,Excellent
2026-05-25 11:15:24,2.46,29.15,85.0,Excellent
2026-05-25 11:15:25,0.14,27.98,85.0,Excellent
2026-05-25 11:15:28,6.33,38.27,70.0,Moderate
2026-05-25 11:15:30,3.48,40.16,70.0,Moderate
2026-05-25 11:15:31,8.25,40.06,70.0,Moderate
2026-05-25 11:15:32,7.45,42.31,70.0,Moderate
2026-05-25 11:15:33,7.11,42.17,70.0,Moderate
2026-05-25 11:15:35,0.07,44.08,70.0,Moderate
2026-05-25 11:15:36,1.69,38.64,70.0,Moderate
2026-05-25 11:15:37,0.68,33.66,70.0,Moderate
2026-05-25 11:15:39,6.16,33.75,70.0,Moderate
2026-05-25 11:15:40,3.34,26.15,85.0,Excellent
2026-05-25 11:15:41,3.2,24.32,85.0,Excellent
2026-05-25 11:15:42,3.28,18.43,85.0,Excellent
2026-05-25 11:15:43,1.66,14.81,100.0,Excellent
2026-05-25 11:15:44,3.31,22.1,85.0,Excellent
2026-05-25 11:15:45,5.02,21.82,85.0,Excellent
2026-05-25 11:15:46,4.08,29.55,85.0,Excellent
2026-05-25 11:15:47,7.15,26.81,85.0,Excellent
2026-05-25 11:15:50,2.69,19.08,85.0,Excellent
2026-05-25 11:15:51,3.08,23.09,85.0,Excellent
2026-05-25 11:15:52,2.09,22.07,85.0,Excellent
2026-05-25 11:15:53,2.71,26.81,85.0,Excellent
2026-05-25 11:15:55,1.18,28.2,85.0,Excellent
2026-05-25 11:15:56,0.75,31.19,70.0,Moderate
2026-05-25 11:15:57,2.8,29.59,85.0,Excellent
2026-05-25 11:15:58,3.13,29.84,85.0,Excellent
2026-05-25 11:16:00,0.43,26.1,85.0,Excellent
2026-05-25 11:16:01,3.01,23.25,85.0,Excellent
2026-05-25 11:16:02,3.04,20.55,85.0,Excellent
2026-05-25 11:16:03,0.03,28.95,85.0,Excellent
2026-05-25 11:16:04,4.64,34.5,70.0,Moderate
2026-05-25 11:16:05,4.6,34.09,70.0,Moderate
2026-05-25 11:16:06,3.8,37.12,70.0,Moderate
2026-05-25 11:16:07,4.51,34.83,70.0,Moderate
2026-05-25 11:16:08,4.75,33.4,70.0,Moderate
2026-05-25 11:16:09,5.61,32.43,70.0,Moderate
2026-05-25 11:16:10,5.99,34.4,70.0,Moderate
2026-05-25 11:16:11,6.41,33.94,70.0,Moderate
2026-05-25 11:16:12,6.37,35.58,70.0,Moderate
2026-05-25 11:16:13,6.32,34.14,70.0,Moderate
2026-05-25 11:16:14,1.64,23.83,85.0,Excellent
2026-05-25 11:16:15,2.17,23.13,85.0,Excellent
2026-05-25 11:16:16,0.88,23.84,85.0,Excellent
2026-05-25 11:16:17,2.02,24.38,85.0,Excellent
2026-05-25 11:16:18,2.04,26.68,85.0,Excellent
