epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.628,0.67614,1.23402,1.35341,0.29793,0.50932,0.38219,0.23132,0.99438,1.85755,1.34007,0.000332016,0.000332016,0.0671304
2,203.84,0.61327,0.99097,1.28029,0.40825,0.3473,0.38626,0.29867,0.83502,1.59273,1.20068,0.000652175,0.000652175,0.0341173
3,304.13,0.57755,0.92421,1.24269,0.40708,0.43519,0.45197,0.32555,1.04075,1.35661,1.40553,0.000959135,0.000959135,0.00109089
4,395.689,0.55259,0.88147,1.2238,0.3711,0.48774,0.45026,0.38472,0.70938,1.21605,1.06601,0.0009406,0.0009406,0.0009406
5,482.051,0.5239,0.82278,1.20012,0.41545,0.47385,0.50289,0.38586,0.87633,1.13839,1.20044,0.0009208,0.0009208,0.0009208
6,567.762,0.49338,0.7961,1.183,0.52185,0.3368,0.40232,0.32025,0.69226,1.73351,0.94977,0.000901,0.000901,0.000901
7,653.816,0.48042,0.76298,1.16508,0.39761,0.43649,0.44177,0.37667,0.68376,1.31044,0.94491,0.0008812,0.0008812,0.0008812
8,739.285,0.46617,0.7379,1.16091,0.42582,0.43732,0.47187,0.39646,0.65749,1.22494,0.93291,0.0008614,0.0008614,0.0008614
9,825.088,0.4584,0.72217,1.15357,0.39953,0.48941,0.47731,0.40716,0.64913,1.11987,0.92361,0.0008416,0.0008416,0.0008416
10,910.652,0.45132,0.71236,1.15064,0.43636,0.44337,0.43802,0.37871,0.57663,1.46756,0.81814,0.0008218,0.0008218,0.0008218
11,997.196,0.44124,0.6903,1.1357,0.4338,0.42982,0.42422,0.36267,0.6227,1.50272,0.84694,0.000802,0.000802,0.000802
12,1083.18,0.42876,0.67738,1.13434,0.44092,0.52473,0.52276,0.44724,0.57439,1.05647,0.84702,0.0007822,0.0007822,0.0007822
13,1169.2,0.42617,0.6602,1.1271,0.48627,0.43874,0.49808,0.427,0.56048,1.26102,0.78024,0.0007624,0.0007624,0.0007624
14,1255.02,0.41272,0.64024,1.11324,0.43249,0.48865,0.49901,0.43044,0.53143,1.15107,0.76676,0.0007426,0.0007426,0.0007426
15,2049,0.41225,0.62946,1.11439,0.4642,0.48792,0.47871,0.41029,0.56579,1.33502,0.81311,0.0007228,0.0007228,0.0007228
16,2133.3,0.40869,0.62922,1.11643,0.44706,0.57623,0.56637,0.49484,0.56472,0.85093,0.80525,0.000703,0.000703,0.000703
17,2223.59,0.40989,0.61005,1.10976,0.44823,0.46979,0.50671,0.39737,0.72155,1.13209,0.91184,0.0006832,0.0006832,0.0006832
18,2318.39,0.39303,0.60372,1.10271,0.44795,0.49836,0.51029,0.44265,0.55901,1.20033,0.79254,0.0006634,0.0006634,0.0006634
19,2402.16,0.40192,0.58742,1.10619,0.47758,0.49443,0.52151,0.45469,0.52005,1.12447,0.75095,0.0006436,0.0006436,0.0006436
20,2485.53,0.38485,0.57874,1.09562,0.47108,0.48402,0.48886,0.42003,0.53407,1.39188,0.76675,0.0006238,0.0006238,0.0006238
21,2568.79,0.37728,0.57886,1.09516,0.45513,0.4541,0.49441,0.42916,0.52342,1.42296,0.75244,0.000604,0.000604,0.000604
22,2652.09,0.36677,0.54875,1.07932,0.49587,0.49692,0.53983,0.46902,0.59817,0.99297,0.83716,0.0005842,0.0005842,0.0005842
23,2735.72,0.37288,0.55312,1.08948,0.50564,0.50841,0.54017,0.47638,0.50785,1.05335,0.74068,0.0005644,0.0005644,0.0005644
24,2819.03,0.36806,0.54318,1.08565,0.50957,0.48634,0.51188,0.44639,0.51189,1.37934,0.73173,0.0005446,0.0005446,0.0005446
25,2902.45,0.35716,0.53219,1.07674,0.45782,0.49549,0.52099,0.45925,0.48589,1.20158,0.72055,0.0005248,0.0005248,0.0005248
26,2985.61,0.36037,0.52675,1.08121,0.48723,0.50494,0.52704,0.45306,0.53616,1.15152,0.76184,0.000505,0.000505,0.000505
27,3074.77,0.35249,0.51572,1.07112,0.51684,0.50309,0.55357,0.48281,0.51265,0.9538,0.72048,0.0004852,0.0004852,0.0004852
28,3162.11,0.34046,0.50192,1.06347,0.54571,0.48605,0.56602,0.50074,0.50579,0.88025,0.74723,0.0004654,0.0004654,0.0004654
29,3250.82,0.34063,0.4955,1.06318,0.51334,0.54285,0.55749,0.49132,0.49281,0.87062,0.71053,0.0004456,0.0004456,0.0004456
30,3338.81,0.33908,0.49909,1.06166,0.50676,0.50181,0.55004,0.47955,0.47864,1.07027,0.69235,0.0004258,0.0004258,0.0004258
31,3425.18,0.34199,0.48876,1.06297,0.48303,0.50665,0.54581,0.47304,0.52215,1.10186,0.72963,0.000406,0.000406,0.000406
32,3512.85,0.33512,0.48773,1.06153,0.51841,0.49477,0.54383,0.47859,0.49803,1.16285,0.7149,0.0003862,0.0003862,0.0003862
33,3600.26,0.33727,0.49142,1.06324,0.49163,0.50107,0.53892,0.47191,0.48788,1.10581,0.69227,0.0003664,0.0003664,0.0003664
